,names,scores,logfoldchanges,pvals,pvals_adj,log_pval
706,Greb1,0.02555335,0.08309665,0.9796135963313095,0.9949125519138148,0.008945195810814321
707,Tnfaip8l3,0.024118578,0.10939941,0.9807580243086377,0.9949125519138148,0.008438129898700693
708,Lhx4,0.023374023,0.15468106,0.9813519263761606,0.9949125519138148,0.008175220678447122
709,Samd3,0.022760859,0.13379385,0.9818410299718917,0.9949125519138148,0.007958823205735134
710,Otp,0.022719495,0.11662732,0.9818740253035635,0.9949125519138148,0.007944228735487046
711,Lrrc38,0.02218906,0.17327541,0.9822971446383505,0.9949125519138148,0.007757118367572974
712,Gck,0.021834625,0.12343484,0.9825798739492728,0.9949125519138148,0.00763213570525697
713,Barhl2,0.021745408,0.17209692,0.9826510418564697,0.9949125519138148,0.0076006810510999175
714,Scgn,0.0215102,0.076645136,0.9828386669994222,0.9949125519138148,0.007517765771380087
715,Bsx,0.0213269,0.0636006,0.9829848858729487,0.9949125519138148,0.007453159718667988
716,Zan,0.016456466,0.12229761,0.9868702318397321,0.9949125519138148,0.005739950978924552
717,Ano2,0.015774364,0.12986182,0.9874144013507371,0.9949125519138148,0.005500542924117073
718,Epsti1,0.013861877,0.02829447,0.9889401769547258,0.9949125519138148,0.004829978983461871
719,Cnpy1,0.011702016,0.17164038,0.9906633552565532,0.9949125519138148,0.004073901309667618
720,Chrna3,0.0116955275,0.08186833,0.9906685319789972,0.9949125519138148,0.004071631904924037
721,Gbx2,0.01092664,0.069067895,0.9912819763096526,0.9949125519138148,0.003802790180418955
722,Nek10,0.01086581,0.0061359233,0.9913305085225859,0.9949125519138148,0.0037815280604263607
723,Mybpc1,0.001147654,0.040843118,0.9990843047592635,0.999984380709497,0.0003978635788631406
724,Crb1,8.921692e-06,-0.009170214,0.9999928815195342,0.9999928815195342,3.091527789314858e-06
725,Slc18a2,-0.007281723,0.14025426,0.9941900770144362,0.9959830257556704,0.002530575857430805
726,Col14a1,-0.0087870555,0.060284834,0.9929890340979944,0.9956776325657688,0.003055547533849991
727,Arhgap36,-0.012770186,0.108276255,0.9898111428448535,0.9949125519138148,0.004447661407067773
728,Nfatc1,-0.016564338,3.7918468e-05,0.9867841746697026,0.9949125519138148,0.005777824026984486
729,Ttc6,-0.018692568,0.06278877,0.9850863576609568,0.9949125519138148,0.006525695378884219
730,Onecut3,-0.019699907,0.031364918,0.9842827646107332,0.9949125519138148,0.006880119587967777
731,Usp43,-0.025959691,0.03872858,0.9792894894288651,0.9949125519138148,0.009088906688178282
732,Bnc2,-0.028978467,0.11615808,0.9768817639533147,0.9949125519138148,0.010157997560673291
733,Lmx1b,-0.03067521,0.017311612,0.9755285606238996,0.9949125519138148,0.010760011210739202
734,Pmfbp1,-0.03112373,0.03356078,0.975170865999947,0.9949125519138148,0.010919282086620918
735,Pax5,-0.03128432,-0.011248928,0.9750427957173267,0.9949125519138148,0.010976322213258902
736,6430628N08Rik,-0.0315836,-0.029276162,0.97480412100096,0.9949125519138148,0.011082643496141983
737,Pth2,-0.031982645,-0.111581855,0.9744858915588924,0.9949125519138148,0.011224444142537773
738,Hs3st3a1,-0.035127945,0.025927195,0.9719777171075836,0.9949125519138148,0.012343691296096219
